ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_valid
9780265495186,Robust responsive protocol,Darren Graham,Children,2018,7,2020-08-27,Available,True
9781179154367,Reduced next generation utilization,Sian Sutton,Reference,1984,10,2018-06-25,Available,True
9780049408098,Cloned 5thgeneration ability,Miss Suzanne Osborne,Children,1969,2,2016-09-19,Reserved,True
9780316792660,Horizontal 3rdgeneration task-force,Mr Owen Parker,Children,2000,4,2019-04-03,Available,True
9780640810672,Customizable analyzing orchestration,Melissa Johnson,Fiction,1970,5,2019-06-24,Reserved,True
9781920865375,Implemented optimal flexibility,Miss Brenda Chapman,Fiction,1966,5,2017-08-31,Checked Out,True
9781654934781,Customer-focused client-server throughput,Mrs Sarah Jones,Reference,1954,7,2025-01-03,Missing,True
9780201970302,Pre-emptive responsive time-frame,Darren Hall,Fiction,1961,3,2020-01-09,Reserved,True
9780558811914,Down-sized user-facing intranet,Rhys Gibson,Fiction,1994,3,2019-05-30,Reserved,True
9780784424674,Optional zero tolerance standardization,Mr Robert Smith,Reference,1982,1,2022-05-15,Missing,True
9781976571251,Function-based exuding hardware,Derek Roberts,Young Adult,1964,5,2020-03-09,Damaged,True
9780961499013,Switchable tertiary firmware,Rita Shaw,Children,1995,7,2025-05-09,Available,True
9781449625214,Operative grid-enabled encryption,Mohammad Murphy,Young Adult,2005,3,2023-07-18,Checked Out,True
9780766675247,Stand-alone exuding contingency,Alice Webb,Reference,1966,4,2025-07-21,Damaged,True
9781997065814,Customer-focused clear-thinking focus group,Mrs Jenna Williams,Non-Fiction,1952,6,2018-02-14,Available,True
9781096801924,Digitized logistical capability,Dr Gavin Thompson,Young Adult,1967,1,2024-05-07,Missing,True
9781260177268,Mandatory full-range middleware,Clare Clarke,Children,2005,3,2025-06-25,Reserved,True
9780542701825,Extended dedicated project,Mr Danny Johnson,Non-Fiction,1951,0,2016-05-10,Damaged,True
9781304674074,Cross-platform needs-based throughput,Christian Lloyd-Clark,Young Adult,1959,5,2016-07-23,Available,True
9781835628751,Ergonomic systemic benchmark,Dr Mathew McDonald,Children,1969,0,2024-04-08,Reserved,True
9781492152965,Function-based high-level model,Ryan Owens,Reference,2021,10,2017-09-22,Damaged,True
9780322168800,Persistent 24hour attitude,Martin Taylor,Reference,1995,10,2016-08-14,Damaged,True
9781741251210,Quality-focused needs-based core,Lewis Harris-Davis,Reference,2007,7,2016-07-24,Available,True
9781455766963,Distributed grid-enabled customer loyalty,Dr Jane Warner,Children,1974,10,2017-01-04,Checked Out,True
9780345741752,Multi-tiered grid-enabled workforce,Nicholas Martin,Young Adult,1953,8,2015-11-04,Available,True
9780422371667,Integrated discrete data-warehouse,Lewis Newman,Reference,1954,1,2024-04-23,Available,True
9780999721117,Intuitive client-driven pricing structure,Melissa Mitchell,Fiction,1986,6,2015-11-14,Available,True
9780676420111,Proactive well-modulated solution,Mr Ian Thomas,Fiction,1977,9,2016-03-08,Checked Out,True
9780460052047,Reduced global info-mediaries,Dr Carolyn Ward,Young Adult,2015,8,2015-12-29,Missing,True
9780722783924,User-centric radical access,Kerry Pearson,Reference,1962,8,2017-08-06,Missing,True
9780769657769,Intuitive fault-tolerant data-warehouse,Edward Hunt,Non-Fiction,1954,4,2025-05-02,Damaged,True
9781631245343,Persevering empowering paradigm,Maurice Coates-Taylor,Fiction,1999,3,2025-04-11,Missing,True
9780847818228,Diverse didactic project,Aaron Davies-Thomson,Reference,1964,6,2023-10-08,Missing,True
9781484856949,Innovative full-range artificial intelligence,Wayne Williamson-Johnson,Young Adult,2018,5,2020-06-02,Available,True
9781260713398,Configurable encompassing emulation,Gary Williams,Reference,1995,6,2023-08-23,Missing,True
9780239554529,Managed uniform orchestration,Mr Stuart Williams,Fiction,1994,10,2024-03-04,Available,True
9781773097800,Front-line reciprocal pricing structure,Kenneth Smith-Moore,Reference,1998,5,2017-05-23,Damaged,True
9781391919386,Diverse multi-state software,Luke Dennis,Reference,2018,2,2022-12-30,Damaged,True
9780739848555,Advanced high-level alliance,Mrs Debra Green,Young Adult,1972,8,2016-08-25,Available,True
9780785662174,Triple-buffered web-enabled infrastructure,Hazel Hall,Fiction,2011,2,2022-12-09,Damaged,True
9780814456514,Triple-buffered encompassing parallelism,Eric Ward,Non-Fiction,1950,10,2022-04-15,Missing,True
9781463384555,Horizontal full-range website,Tracey Harvey,Fiction,1987,7,2017-03-16,Checked Out,True
9781813120598,Fully-configurable analyzing neural-net,Elliot Richards,Non-Fiction,2008,3,2018-02-15,Reserved,True
9780202417660,Reverse-engineered leadingedge analyzer,Dr Arthur Lawson,Young Adult,1986,0,2021-04-04,Damaged,True
9781674000978,Pre-emptive directional Graphic Interface,Sean Jackson-Bolton,Reference,1978,0,2019-06-09,Missing,True
9780121355302,Decentralized cohesive Graphical User Interface,Hayley Richardson,Non-Fiction,1956,6,2017-10-08,Missing,True
9781693706752,Optional exuding frame,Kelly Yates,Young Adult,2016,9,2018-06-18,Missing,True
9780119457209,Monitored holistic functionalities,Amanda Spencer,Reference,1997,1,2023-11-21,Reserved,True
9781502694508,Multi-channeled multi-state database,Dominic Collier-Walsh,Children,1986,9,2025-08-21,Missing,True
9780928866896,Progressive 24/7 attitude,Suzanne Donnelly,Non-Fiction,2002,7,2019-03-10,Available,True
9781443052368,Customer-focused eco-centric task-force,Alexandra Norton,Children,1999,7,2025-02-10,Reserved,True
9781072742005,Switchable scalable hardware,Katie Brooks,Reference,1954,6,2018-09-21,Damaged,True
9781993977883,Configurable actuating firmware,Jeffrey Grant,Reference,2015,6,2025-03-02,Damaged,True
9781424878406,Integrated bi-directional throughput,Rachael Morgan-Smith,Children,1958,8,2022-08-01,Reserved,True
9781951569921,Devolved optimizing budgetary management,Oliver Murphy,Young Adult,1962,1,2023-06-19,Damaged,True
9780688404765,Team-oriented disintermediate emulation,Dorothy Marshall,Children,1995,6,2025-02-01,Available,True
9781914159282,Innovative client-driven Local Area Network,Dr Carole White,Children,1996,6,2020-02-13,Checked Out,True
9781466785632,Synergized leadingedge attitude,Miss Elaine Frost,Children,1981,1,2022-04-25,Missing,True
9780685952412,Proactive bottom-line Internet solution,Louis Hodgson,Fiction,2006,3,2021-04-05,Missing,True
9781343251014,Configurable 4thgeneration concept,Ricky Norris,Non-Fiction,1952,0,2022-09-20,Checked Out,True
9780410112012,Stand-alone logistical workforce,Joan Smith-Moore,Children,2017,5,2025-09-26,Damaged,True
9781194238028,User-centric asymmetric conglomeration,Georgia Roberts-Powell,Children,1977,3,2018-05-30,Damaged,True
9780807092781,Stand-alone zero tolerance hierarchy,Aaron Hope,Young Adult,2011,3,2019-11-18,Available,True
9780542470264,Secured bi-directional product,Miss Suzanne Stevenson,Non-Fiction,1962,6,2021-11-06,Damaged,True
9780729722315,Up-sized multi-state project,James Bond,Reference,2011,1,2019-11-20,Missing,True
9780445397507,Reactive context-sensitive open system,Mark Holmes,Non-Fiction,2003,1,2025-04-30,Reserved,True
9781980284406,Distributed local model,Anna Marshall,Children,2020,7,2022-05-17,Checked Out,True
9781147904475,Inverse attitude-oriented hardware,Grace Parkinson,Fiction,1963,2,2017-06-14,Reserved,True
9781082382000,Advanced systemic productivity,Hilary Jones,Fiction,1967,5,2015-11-14,Reserved,True
9780465530922,Distributed contextually-based concept,Samantha Lewis,Children,1991,0,2016-10-26,Available,True
9780583223270,Digitized directional function,Diane Phillips-Sutton,Children,1987,9,2024-08-05,Available,True
9780881489941,Quality-focused static concept,Jake Stevens,Reference,1954,10,2025-05-04,Missing,True
9780846619994,Organic attitude-oriented analyzer,Owen Green,Reference,2020,3,2020-11-15,Missing,True
9780133752144,Monitored stable help-desk,Dr Scott Williams,Young Adult,2001,10,2017-04-29,Damaged,True
9780489974429,Enhanced stable Graphical User Interface,Maurice Taylor,Non-Fiction,2016,8,2017-10-15,Damaged,True
9781485083740,Face-to-face client-server superstructure,Margaret Matthews,Non-Fiction,1989,6,2015-10-30,Available,True
9780773667587,Multi-channeled optimal model,Norman Nolan,Young Adult,1977,0,2023-01-21,Checked Out,True
9781333538378,Visionary optimizing alliance,Catherine Wilkinson,Children,1981,8,2025-02-01,Checked Out,True
9780569476195,Down-sized maximized support,Darren Dyer,Fiction,1953,0,2022-07-20,Missing,True
9781962480994,Multi-channeled cohesive complexity,Lydia Daniels-Price,Fiction,1987,3,2020-01-19,Reserved,True
9780720170115,Organized fresh-thinking productivity,Miss Rita Dickinson,Non-Fiction,1989,9,2020-05-19,Checked Out,True
9781351067447,Fundamental system-worthy portal,Mr Owen Hughes,Fiction,2012,4,2017-01-10,Available,True
9781788030243,Versatile object-oriented challenge,Hazel Davies,Young Adult,2022,9,2015-10-21,Damaged,True
9780341871552,Synergized 3rdgeneration workforce,Cheryl Johnson,Children,1984,6,2016-05-01,Damaged,True
9780354313735,Customer-focused coherent structure,Jeffrey Coles,Non-Fiction,2015,9,2016-01-27,Damaged,True
9780987599735,Devolved system-worthy conglomeration,Iain Browne,Non-Fiction,1995,1,2024-02-13,Missing,True
9780839863915,Self-enabling 5thgeneration instruction set,Lauren White,Reference,1998,2,2020-01-27,Checked Out,True
9781303816918,Re-engineered web-enabled extranet,Dominic Jones,Children,1969,7,2020-06-17,Reserved,True
9781444911855,Configurable 6thgeneration benchmark,Miss Hollie Thompson,Young Adult,1957,0,2023-07-26,Checked Out,True
9781573018081,Proactive client-driven Graphical User Interface,Derek Jarvis,Non-Fiction,1981,0,2018-01-10,Checked Out,True
9780727521521,Pre-emptive zero-defect superstructure,Liam Smith,Non-Fiction,1986,0,2024-06-08,Reserved,True
9780416638264,Persistent leadingedge system engine,Dr Emily Hall,Young Adult,2009,7,2020-06-11,Available,True
9781053465749,Virtual web-enabled approach,Karl James,Non-Fiction,1996,1,2018-02-08,Reserved,True
9781164629290,Cross-group well-modulated methodology,Lewis Black,Reference,2022,0,2015-12-24,Reserved,True
9780811000772,Quality-focused disintermediate budgetary management,Mr Dennis Martin,Fiction,2016,10,2022-03-06,Checked Out,True
9781032250816,Secured dedicated emulation,Tom Burrows,Reference,1951,5,2020-07-13,Available,True
9781545447277,Programmable modular strategy,Nicholas Harris,Young Adult,2001,6,2023-10-03,Available,True
9780740668678,Re-contextualized zero administration orchestration,Callum Harvey-Bailey,Reference,1964,2,2023-07-03,Checked Out,True
9780769823768,Configurable next generation capacity,Ms Lauren Dunn,Reference,1966,7,2020-12-17,Missing,True
9780912812120,Open-architected didactic functionalities,Mr Justin Williams,Reference,1987,4,2016-07-13,Damaged,True
9781225193357,Operative clear-thinking website,Dr Jacob Wilson,Reference,1954,9,2022-07-05,Missing,True
9781012520045,Fully-configurable contextually-based analyzer,Joshua Henderson,Young Adult,1974,6,2020-10-14,Available,True
9780479666785,Expanded 4thgeneration core,Grace Thompson,Children,1967,7,2023-03-30,Damaged,True
9780751376845,Progressive bifurcated framework,Toby Warner-Wright,Reference,1991,8,2019-08-05,Reserved,True
9781519208491,User-friendly interactive hardware,Molly Goodwin,Children,1988,2,2024-11-06,Available,True
9780568459342,Business-focused bandwidth-monitored application,Dr Justin Taylor,Non-Fiction,1970,4,2021-04-09,Missing,True
9780257502250,Seamless dynamic structure,Mr Mohamed Pope,Non-Fiction,1982,8,2023-06-09,Missing,True
9780544955035,Synergized 24/7 knowledge user,Sam Kaur,Young Adult,1974,1,2019-02-01,Checked Out,True
9781723967788,Ergonomic non-volatile access,Sam Lawrence,Young Adult,1980,7,2019-11-09,Available,True
9781626794092,Team-oriented optimal alliance,Stuart Jones,Children,1996,0,2017-02-22,Checked Out,True
9781648036149,Sharable static throughput,Miss Hayley Payne,Fiction,1964,8,2022-12-18,Available,True
9781650584843,Compatible scalable flexibility,Craig Mann,Non-Fiction,1998,10,2021-02-28,Damaged,True
9781022935112,Switchable mobile throughput,Kathryn Thomson-Barrett,Reference,1965,4,2021-12-31,Available,True
9781846070433,Mandatory static standardization,June Patel,Reference,1981,10,2017-09-12,Missing,True
9780610845635,Stand-alone asynchronous system engine,Rosemary Richardson-Simpson,Young Adult,1950,6,2016-10-27,Available,True
9781508899754,Managed motivating functionalities,Jenna Wright,Fiction,1983,7,2022-06-14,Available,True
9781680965117,Re-engineered neutral system engine,Martyn Williams,Reference,2022,1,2022-03-23,Available,True
9780217785457,Persistent executive matrices,Dale Brown,Reference,1966,5,2016-03-06,Damaged,True
9781883485641,Versatile uniform emulation,Joan Cole,Reference,1968,4,2018-11-12,Damaged,True
9781652770152,Networked cohesive info-mediaries,Mrs Kayleigh George,Young Adult,2021,8,2019-06-17,Checked Out,True
9780008546311,Optimized uniform task-force,Dr Dennis Thomas,Children,1958,0,2025-07-16,Checked Out,True
9781932375589,Expanded multimedia model,Jade Wilson,Children,1960,4,2016-09-02,Available,True
9780548592823,User-friendly 24/7 workforce,Dr Marion Storey,Non-Fiction,1958,8,2018-05-15,Available,True
9780090028108,Balanced 3rdgeneration database,Anna Matthews,Fiction,2021,10,2024-04-10,Available,True
9780886449919,Object-based client-server methodology,Norman Marsh-Ward,Children,1951,5,2017-04-05,Available,True
9780501229155,Exclusive holistic customer loyalty,Ben Scott,Non-Fiction,1970,5,2025-08-02,Available,True
9781197661625,Horizontal client-driven portal,Mr Kenneth Hill,Young Adult,1950,4,2016-11-16,Reserved,True
9781017744606,Quality-focused directional frame,Roy Phillips,Young Adult,1954,8,2016-12-14,Reserved,True
9780783123318,Intuitive systemic definition,Abbie Morley-Lord,Young Adult,1950,9,2024-02-26,Reserved,True
9780037514169,Grass-roots next generation superstructure,Dennis Garner-Hill,Fiction,1999,7,2021-07-24,Available,True
9780973278606,Diverse multi-tasking frame,Graeme Singh-Marsh,Children,2014,7,2019-12-01,Missing,True
9781501219917,Fundamental systematic parallelism,Billy Godfrey-Storey,Non-Fiction,1958,0,2024-08-20,Checked Out,True
9781301965496,Upgradable mobile approach,Miss Pamela Evans,Fiction,1983,5,2022-05-30,Damaged,True
9781521020388,Quality-focused static leverage,Vanessa Price,Children,1990,7,2018-04-02,Checked Out,True
9780421210042,Open-source needs-based matrix,Damian Nixon,Non-Fiction,2008,5,2016-08-04,Damaged,True
9781865425566,Triple-buffered multi-state info-mediaries,Mr George O'Brien,Reference,1984,0,2016-05-02,Damaged,True
9781417105670,Extended radical superstructure,Rosie Brennan,Children,1953,3,2024-06-16,Checked Out,True
9780706487237,Managed well-modulated moderator,Mr Leonard Donnelly,Young Adult,1983,4,2021-07-17,Missing,True
9780752047706,Balanced fault-tolerant model,Geraldine Bailey,Reference,2017,7,2025-04-11,Available,True
9780732553821,Persevering upward-trending function,Ashleigh Henry,Reference,1979,3,2022-10-02,Missing,True
9780250634835,Persevering disintermediate synergy,Brian Bowen,Fiction,1979,6,2018-02-07,Missing,True
9780464675037,Progressive analyzing utilization,Ben Cox,Children,1961,2,2024-10-10,Damaged,True
9781203971014,Team-oriented 3rdgeneration focus group,Dr Raymond Lloyd,Children,1959,0,2019-06-03,Damaged,True
9780993409608,Centralized upward-trending moderator,Reece Heath,Fiction,1978,2,2022-06-15,Damaged,True
9781584225270,Organic human-resource model,Dr Zoe Owen,Young Adult,1994,3,2020-02-18,Available,True
9781292775012,Robust demand-driven circuit,Dr Gary Walters,Reference,1955,5,2024-01-12,Damaged,True
9781222166095,Multi-channeled context-sensitive core,Lee Simpson,Young Adult,1980,1,2021-11-15,Available,True
9780420357779,Secured directional capability,Hayley Bentley,Fiction,1953,8,2021-09-05,Missing,True
9780623175538,Extended upward-trending Local Area Network,Vanessa Jordan,Young Adult,1992,4,2020-08-12,Damaged,True
9781306585828,Persevering intermediate help-desk,Vanessa James-Baxter,Fiction,1971,5,2024-11-13,Checked Out,True
9781897303788,Inverse multi-tasking benchmark,Hollie Griffin-Faulkner,Young Adult,1954,6,2022-03-17,Reserved,True
9780687619078,Intuitive 4thgeneration functionalities,Mrs Carol Murray,Fiction,1957,4,2019-04-04,Damaged,True
9781107498181,Programmable impactful utilization,Dr Lee Hopkins,Children,2016,6,2021-05-01,Damaged,True
9780718729707,Configurable upward-trending contingency,Ms Sian Clark,Reference,1988,8,2023-05-15,Damaged,True
9781206051164,Secured zero administration matrices,Mrs Kerry Phillips,Reference,2016,9,2019-02-14,Reserved,True
9781821947194,Upgradable 24hour solution,Charlene Smith,Reference,1982,8,2020-10-01,Available,True
9780732575922,Decentralized contextually-based encoding,Mr Oliver Taylor,Young Adult,1951,10,2020-11-14,Checked Out,True
9781643172101,Stand-alone solution-oriented focus group,Dr Stuart Welch,Young Adult,1963,0,2016-06-13,Available,True
9781701987838,Monitored 3rdgeneration software,Miss Stephanie Evans,Young Adult,2009,0,2017-09-05,Available,True
9780125470995,Proactive content-based extranet,Mr Terence Evans,Young Adult,2012,3,2024-04-01,Damaged,True
9781407647180,Synergized human-resource solution,Vanessa Fox,Children,2023,4,2017-09-13,Missing,True
9780145394806,Vision-oriented maximized challenge,Mr Gerald Miller,Non-Fiction,1975,0,2024-04-14,Damaged,True
9781584022275,Up-sized mission-critical implementation,Paul Clarke,Reference,1963,1,2021-04-28,Available,True
9781672527934,Versatile upward-trending superstructure,Dr Scott Poole,Young Adult,1963,9,2019-04-17,Damaged,True
9780677421087,Ergonomic 24/7 instruction set,Valerie Harris,Fiction,1954,4,2024-02-16,Missing,True
9780084257545,Enterprise-wide discrete knowledgebase,Judith Kelly,Fiction,1971,1,2018-05-13,Reserved,True
9780486898322,Diverse full-range time-frame,Judith Payne,Children,1987,1,2025-05-10,Reserved,True
9781746903381,Function-based mobile budgetary management,Marilyn Shah,Children,2004,7,2019-03-07,Reserved,True
9781522212003,Upgradable fault-tolerant access,Keith Stevens,Non-Fiction,1979,3,2025-06-28,Missing,True
9780338738455,Visionary demand-driven help-desk,Mr Richard Harvey,Children,2022,6,2018-12-03,Reserved,True
9780836669435,Open-source global middleware,Miss Cheryl Hammond,Children,1970,3,2021-07-21,Missing,True
9780344553295,Networked modular methodology,Grace Davis,Fiction,2011,10,2021-08-07,Available,True
9780188861662,Open-architected discrete encryption,Dr Colin James,Non-Fiction,1979,5,2023-11-21,Checked Out,True
9780541682491,Persistent logistical ability,Dr Declan Fleming,Fiction,1957,4,2022-06-15,Missing,True
9780406547651,Cross-platform contextually-based interface,Glenn Hart,Reference,2024,2,2022-04-09,Damaged,True
9780753513835,Fundamental high-level installation,Kim Stevens,Young Adult,1994,3,2018-10-21,Damaged,True
9781515822301,Right-sized exuding matrix,Mrs Kerry Swift,Fiction,2011,10,2020-04-04,Damaged,True
9781124983349,Fundamental bandwidth-monitored function,Dr Leah Watts,Non-Fiction,1963,7,2021-08-07,Checked Out,True
9780529149374,Extended web-enabled Graphical User Interface,Victor Moss,Reference,1988,6,2021-11-30,Checked Out,True
9780168674473,Progressive intermediate moderator,Oliver Clarke,Children,2014,7,2020-05-11,Checked Out,True
9780694418268,Versatile real-time methodology,Luke Pollard,Non-Fiction,2021,5,2023-05-30,Missing,True
9780539874051,Versatile encompassing archive,Ryan Jackson,Young Adult,1992,10,2024-05-04,Checked Out,True
9781117426143,De-engineered client-server intranet,Lauren Doyle-Reeves,Reference,1969,7,2017-06-18,Damaged,True
9781893708105,User-friendly disintermediate hardware,Maurice White,Reference,2008,10,2024-11-14,Available,True
9780049246010,Distributed needs-based product,Miss Charlene Waters,Children,1960,3,2021-07-14,Reserved,True
9780631508106,Reactive intermediate Internet solution,Richard Phillips,Reference,1975,1,2022-07-18,Damaged,True
9781790354061,Future-proofed coherent synergy,Arthur Walsh,Reference,1999,7,2024-04-22,Available,True
9781691864843,Compatible context-sensitive artificial intelligence,Elaine Bird,Young Adult,1950,5,2019-07-31,Reserved,True
9780706272352,Devolved hybrid flexibility,Stuart Palmer-Griffiths,Reference,1962,7,2024-03-30,Checked Out,True
9780571629848,Proactive upward-trending hub,Lynda Hughes-Thomas,Children,2009,9,2023-10-18,Checked Out,True
9781614699484,Fully-configurable multimedia product,Dr Gemma Blake,Fiction,1965,6,2023-11-05,Checked Out,True
9781778953248,Secured local throughput,Ms Irene Kelly,Children,1953,6,2018-01-20,Missing,True
9780999326039,Quality-focused system-worthy support,Mrs Vanessa Hyde,Reference,1974,5,2020-03-02,Reserved,True
9780368378034,Organized attitude-oriented Local Area Network,Harriet Williams,Young Adult,1988,6,2021-03-01,Checked Out,True
9781461204657,Innovative fresh-thinking implementation,Dr Georgina Quinn,Reference,2018,9,2019-08-22,Damaged,True
9781381392229,Expanded analyzing forecast,Mr Anthony George,Fiction,1963,4,2020-09-14,Reserved,True
9780487937013,Enhanced discrete customer loyalty,Dr Diana Pearce,Children,2012,0,2025-02-06,Checked Out,True
9781759012926,Reverse-engineered systemic process improvement,Rosie Nash,Reference,1980,4,2016-01-09,Checked Out,True
9780704574083,Inverse actuating success,Jay Doyle,Young Adult,1962,8,2022-03-03,Damaged,True
9780928236965,User-friendly fault-tolerant process improvement,Teresa Gray,Young Adult,2024,2,2023-07-08,Reserved,True
9780380033836,Front-line intermediate synergy,Nigel Curtis,Children,1966,9,2019-10-30,Available,True
9780476194564,Cross-group static success,Mrs Tina Griffiths,Children,1953,9,2016-07-13,Checked Out,True
9781292231976,User-friendly motivating paradigm,Ronald Edwards-Bishop,Young Adult,1956,0,2021-08-05,Available,True
9780108981074,Diverse discrete circuit,Steven Lambert-Wallace,Fiction,1964,10,2022-07-06,Available,True
9781783019441,Decentralized 24hour migration,Timothy Parkes,Fiction,1991,6,2025-03-09,Available,True
9780537424944,Cross-group modular middleware,Miss Jenna Morris,Young Adult,1959,9,2016-03-20,Damaged,True
9780831091576,Cloned radical array,Donna Hart,Non-Fiction,2021,4,2023-03-05,Reserved,True
9780341024255,Balanced fresh-thinking portal,Gordon Martin,Reference,2015,1,2016-05-05,Checked Out,True
9780684418773,Optional systematic moratorium,Gavin Nicholson,Fiction,1979,0,2020-06-22,Available,True
9781296204297,Proactive high-level utilization,Abdul Johnson-Tomlinson,Reference,2015,2,2016-09-19,Checked Out,True
9780008259235,Business-focused human-resource hardware,Amy Jones,Reference,1988,10,2021-05-11,Damaged,True
9780528800498,Operative 4thgeneration hierarchy,Anna Moore-Patel,Reference,1956,10,2016-03-19,Missing,True
9781170420478,Expanded 3rdgeneration moderator,Dr Leonard Freeman,Young Adult,2011,2,2020-03-12,Checked Out,True
9781322844138,Focused systematic core,Mrs Angela Richardson,Non-Fiction,1959,0,2016-07-09,Reserved,True
9781700233585,Devolved dedicated groupware,Mr Charlie Coleman,Children,2017,1,2018-11-20,Damaged,True
9781708832865,Automated empowering attitude,Mrs Denise Wilson,Young Adult,1981,10,2024-03-05,Damaged,True
9781918924558,Organized upward-trending forecast,Rhys Johnson,Children,1990,6,2023-01-07,Available,True
9780040305815,Profit-focused bottom-line hierarchy,Douglas Robinson,Reference,1967,2,2018-02-22,Available,True
9781292580999,Grass-roots reciprocal architecture,Toby Davis,Reference,2020,2,2018-04-19,Checked Out,True
9781333129385,Multi-tiered user-facing help-desk,Dr Julia Cook,Fiction,2002,3,2022-05-12,Available,True
9780080538471,Synergistic systematic orchestration,Martin Power-Charlton,Reference,2000,4,2017-11-27,Available,True
9781651835913,Function-based intermediate budgetary management,Jake Thomas,Young Adult,1999,1,2023-02-01,Checked Out,True
9781983400773,Compatible systemic projection,Mrs Carol Newman,Fiction,1969,3,2021-05-26,Damaged,True
9780734996329,Cross-platform holistic hierarchy,Gail Carter,Children,1964,10,2024-04-13,Damaged,True
9781317528616,Enterprise-wide stable complexity,Claire Bartlett-Hart,Reference,1980,6,2016-04-02,Missing,True
9781937581831,Mandatory 5thgeneration productivity,Lucy Lane,Non-Fiction,1990,10,2020-07-06,Missing,True
9780897578424,Focused grid-enabled artificial intelligence,Leonard Cross,Reference,1958,6,2016-02-29,Damaged,True
9781421492889,Innovative asynchronous info-mediaries,Connor Singh-Ellis,Young Adult,1985,0,2024-07-15,Checked Out,True
9781927969397,Synchronized coherent ability,Miss Hannah Lee,Non-Fiction,1978,9,2023-10-17,Available,True
9780453304344,Secured encompassing open architecture,Paula Cooke,Reference,1979,10,2021-05-29,Checked Out,True
9781874433736,Customizable empowering product,Rachel John,Children,1967,8,2018-01-21,Checked Out,True
9780810391116,Stand-alone exuding access,Kyle Patel,Young Adult,2008,1,2021-06-30,Checked Out,True
9780163484435,Centralized full-range data-warehouse,Danielle Begum-Thomson,Young Adult,1980,7,2020-07-27,Missing,True
9781082382888,Realigned bandwidth-monitored infrastructure,Megan May,Children,2022,5,2022-04-25,Checked Out,True
9780732714635,Monitored global frame,Brenda Rogers,Non-Fiction,1990,2,2023-12-07,Missing,True
9780872032385,Face-to-face well-modulated collaboration,Mr Cameron Long,Young Adult,1982,4,2021-11-17,Reserved,True
9780740265587,Inverse reciprocal contingency,Shannon Moore-Parker,Reference,1985,3,2018-02-20,Damaged,True
9780081854808,Inverse value-added software,Mr Malcolm Smith,Reference,2005,8,2020-12-11,Available,True
9781374909946,Switchable even-keeled methodology,Brenda Taylor,Fiction,1959,4,2024-11-19,Checked Out,True
9780240621463,Cross-platform discrete data-warehouse,Miss Beverley Barrett,Non-Fiction,1955,6,2023-01-09,Reserved,True
9780255563482,Decentralized empowering budgetary management,Dr Dale Stewart,Fiction,2016,0,2022-06-05,Reserved,True
9781492239666,Multi-lateral client-driven monitoring,Justin Campbell,Reference,2013,7,2022-03-04,Available,True
9780827457454,Open-source grid-enabled paradigm,Josh Hayes,Children,1990,5,2019-07-01,Missing,True
9781337364355,Versatile discrete methodology,Katie Gibson,Fiction,1999,2,2019-09-22,Damaged,True
9781009583046,Down-sized zero administration system engine,Dominic Brennan,Reference,2011,9,2018-03-07,Available,True
9780655747444,Robust dedicated infrastructure,Dr Pauline Rose,Non-Fiction,1995,9,2017-03-22,Available,True
9780834028975,Grass-roots zero-defect ability,Kenneth Miller,Non-Fiction,1952,4,2022-08-24,Damaged,True
9781964793535,Secured tertiary workforce,Dr Gordon O'Brien,Non-Fiction,2009,2,2016-11-01,Available,True
9781262671887,Robust secondary complexity,Dr Emma Archer,Young Adult,1972,6,2020-02-04,Damaged,True
9781673221770,Monitored optimizing focus group,Mr Kieran Phillips,Fiction,1977,2,2020-07-29,Checked Out,True
9780453376976,Right-sized bandwidth-monitored standardization,Ms Fiona Matthews,Children,2015,4,2023-09-15,Available,True
9780960630073,Reverse-engineered multi-tasking conglomeration,Carolyn Stevens,Reference,1950,2,2023-07-01,Missing,True
9781873563922,Compatible bi-directional middleware,Martyn Bartlett,Children,1994,10,2016-10-26,Missing,True
9780698773516,Business-focused heuristic software,Dr Kenneth Burns,Reference,2022,7,2023-08-05,Damaged,True
9781009479479,Versatile static task-force,Mr Iain Barnes,Non-Fiction,2008,9,2022-04-05,Checked Out,True
9781629087924,Re-contextualized hybrid moratorium,Ms Josephine Forster,Reference,1995,7,2020-01-20,Missing,True
9781639663521,Phased disintermediate initiative,Julie Pearson,Children,1994,1,2020-04-24,Missing,True
9780408413831,Vision-oriented motivating orchestration,Carol Collins,Non-Fiction,1982,7,2018-12-16,Reserved,True
9780079077981,Up-sized uniform monitoring,Marc Harvey,Fiction,1959,1,2020-12-12,Damaged,True
9781166402808,De-engineered next generation algorithm,Chloe Howe,Non-Fiction,2000,7,2017-07-30,Available,True
9781661651756,Realigned intermediate infrastructure,Ms Nicole Evans,Non-Fiction,2017,6,2020-10-05,Checked Out,True
9781388339234,Synergistic upward-trending model,Laura Johnson-Ellis,Children,2000,10,2017-08-27,Damaged,True
9780764985775,Implemented composite intranet,Sally Swift,Young Adult,1963,1,2025-05-02,Checked Out,True
9781054720922,Optional encompassing info-mediaries,Ben Forster-Fox,Children,2021,4,2019-11-30,Checked Out,True
9781189166800,Pre-emptive discrete structure,Gemma Day,Non-Fiction,1976,0,2016-07-29,Available,True
9781766002200,Assimilated secondary encryption,Bruce Sykes-Griffin,Reference,1955,5,2017-12-15,Damaged,True
